amt_price,heatedarea,hometype,fullbaths,halfbaths,District
556500,1656,Attached single-family,2,2,3
519000,1656,Attached single-family,2,2,3
509500,1656,Attached single-family,2,2,3
520500,1656,Attached single-family,2,2,3
544000,1656,Attached single-family,2,2,3
543500,1656,Attached single-family,2,1,3
585000,1672,Attached single-family,2,2,3
577500,1656,Attached single-family,2,2,3
587500,1672,Attached single-family,2,2,3
639000,1656,Attached single-family,2,2,3
215000,702,Detached single-family,1,0,3
360000,980,Detached single-family,2,0,3
237000,1010,Detached single-family,1,0,3
222000,1012,Detached single-family,1,0,3
352000,980,Detached single-family,2,0,3
360000,1000,Detached single-family,2,0,3
505000,1360,Detached single-family,2,0,3
340000,1028,Detached single-family,2,0,3
265000,1037,Detached single-family,1,0,3
690000,2810,Detached single-family,3,1,3
307000,1078,Detached single-family,1,0,3
280000,1276,Detached single-family,1,1,3
232000,1146,Detached single-family,1,0,3
427000,1596,Detached single-family,2,0,3
257500,1000,Detached single-family,1,0,3
220000,1000,Detached single-family,1,0,3
267000,1403,Detached single-family,1,1,3
301000,1299,Detached single-family,2,0,3
440000,1040,Detached single-family,2,0,3
151500,812,Detached single-family,1,0,3
280000,1028,Detached single-family,1,0,3
262000,1110,Detached single-family,1,0,3
251000,1010,Detached single-family,1,0,3
175000,806,Detached single-family,1,0,3
495000,1506,Detached single-family,2,0,3
415000,1198,Detached single-family,2,0,3
310000,1400,Detached single-family,1,1,3
271000,1320,Detached single-family,2,0,3
355000,1210,Detached single-family,1,0,3
271500,1188,Detached single-family,1,0,3
245000,1070,Detached single-family,2,0,3
297000,1214,Detached single-family,1,1,3
325000,1025,Detached single-family,1,0,3
250000,1032,Detached single-family,1,0,3
185000,1146,Detached single-family,1,0,3
252500,1150,Detached single-family,1,0,3
355000,1350,Detached single-family,2,0,3
320000,1258,Detached single-family,2,0,3
371500,1566,Detached single-family,2,0,3
240000,1030,Detached single-family,1,0,3
265000,1080,Detached single-family,1,0,3
405000,1166,Detached single-family,2,1,3
